cluster,wlthindf,latitude,longitude
348,-0.56284,-2.573236,28.933981
349,-0.44,-2.124417,30.304729
350,-0.277315,-1.489671,29.923061
351,0.067665,-1.610184,29.4579
352,-0.646105,-2.800865,29.579655
353,-0.45334,-2.345122,29.637055
354,-0.111515,-2.202149,30.139568
355,0.4399,-1.963772,30.032885
356,-0.54481,-1.817924,29.518657
357,-0.51741,-2.54094,29.053524
358,-0.50881,-2.353186,29.828331
359,-0.44019,-2.052887,29.426793
360,-0.54981,-2.562947,29.057529
361,-0.32879,-1.696857,29.948877
362,-0.565795,-2.356264,29.396761
363,-0.318705,-2.138187,30.441904
364,-0.16721,-1.954886,30.366392
365,-1.048935,-2.054273,29.762236
366,-0.328025,-1.922246,29.821522
367,-0.38121,-2.38806,29.258739
368,0.73583,-1.986546,30.144486
369,-0.3549,-1.805389,29.375352
370,-0.30396,-2.134998,30.477437
371,-0.441275,-1.668376,29.902769
372,-0.4404,-1.935941,30.687219
373,1.062415,-1.980913,30.183944
374,-0.447555,-1.843207,29.783921
375,0.92205,-2.003313,30.043979
376,-0.432935,-2.450605,29.957955
377,-0.394385,-1.657813,29.557036
378,-0.21552,-1.657729,29.481978
379,-0.46644,-1.799602,30.358161
380,-0.10305,-1.992058,30.324192
381,2.55636,-1.921521,30.0644
382,-0.398665,-2.198356,29.948676
383,4.46392,-1.983305,30.027391
384,-0.54512,-1.728739,29.350226
385,-0.50384,-2.198063,30.500769
386,-0.65856,-2.792961,29.418105
387,-0.208475,-1.816872,30.410905
388,-0.34955,-2.731362,29.780691
389,-0.650405,-2.681601,29.740053
390,2.356715,-1.976122,30.094821
391,-0.33183,-1.570421,29.44361
392,-0.398055,-1.733422,29.595184
393,0.82452,-2.598745,29.716773
394,1.354425,-2.075481,29.740522
395,-0.39188,-1.444471,29.509372
396,-0.322915,-2.142409,30.096497
397,-0.5965,-2.465316,29.467918
398,-0.3239,-1.928739,29.743956
399,0.01482,-1.275019,30.381223
400,-0.347,-1.948766,29.797733
401,1.40751,-1.970013,30.037682
402,1.59583,-1.956508,30.047549
403,-0.46382,-1.655143,29.684502
404,-0.49018,-2.539896,29.032055
405,-0.53891,-1.386951,29.833824
406,-0.325885,-2.695023,29.002655
407,-0.52488,-1.97753,29.570432
408,-0.503285,-2.552635,29.096091
409,-0.35113,-2.005244,29.770131
410,-0.420465,-1.805823,30.046599
411,2.154725,-1.993914,30.064323
412,-0.32582,-1.948529,30.375445
413,-0.49692,-1.528342,29.603571
414,-0.42302,-2.1345,30.32137
415,-0.290605,-1.886756,29.879609
416,-0.447635,-1.398027,29.694173
417,2.0418,-1.945,30.048865
418,-0.466925,-1.761856,29.338515
419,2.475315,-1.944706,30.063279
420,-0.39845,-2.057154,30.045359
421,-0.482365,-2.136239,30.664806
422,-0.561135,-1.884319,29.559903
423,1.60997,-1.703399,29.256782
424,2.897935,-1.940063,30.091425
425,-0.38999,-2.365815,29.939349
426,-0.19768,-1.48276,29.779362
427,1.17187,-1.772094,29.521851
428,-0.53615,-2.578385,29.860149
429,-0.402295,-2.280823,29.698357
430,-0.62736,-1.798374,29.278809
431,-0.30592,-1.76192,29.91315
432,-0.407585,-2.223684,29.553908
433,-0.289355,-1.784853,30.496993
434,-0.97256,-2.113522,29.758143
435,-0.44131,-1.671156,29.948958
436,-0.415155,-2.242963,30.112396
437,-0.19954,-2.296489,30.015236
438,-0.206655,-1.520894,29.663135
439,-0.44176,-1.946122,30.423228
440,-0.43531,-2.015934,29.914014
441,-0.20395,-1.616108,29.882843
442,-0.55741,-1.815346,29.320772
443,2.715035,-1.962997,30.118024
444,-0.230185,-1.59213,29.472792
445,-0.494455,-1.633816,29.767421
446,-0.33651,-2.256404,29.686877
447,-0.25624,-1.433624,29.62412
448,-0.48465,-1.607969,29.949778
449,-0.475155,-1.784873,29.609929
450,-0.409035,-1.597075,29.375018
451,-0.460565,-2.237258,29.1907
452,-0.17944,-1.920579,29.37916
